# operation	fingerprint	size_bytes	firmware_abi_keys	nids
sceAgcDriverSetHsOffchipParamDirect	20da0cc1056cbc4d	39	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	DPcAnsOlTQs
sceAgcDriverNotifyDefaultStates	4152a75594d90347	1159	0x0502,0x0510,0x0550	nR6xhiFsOoc
sceAgcDriverNotifyDefaultStates	4785afe7a0828a8e	1215	0x0701,0x0720,0x0740,0x0760,0x0761	nR6xhiFsOoc
sceAgcDriverNotifyDefaultStates	4be9bbbf1bbc3047	1232	0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960	nR6xhiFsOoc
sceAgcDriverNotifyDefaultStates	60022b47dd359a11	1159	0x0600,0x0602,0x0650	nR6xhiFsOoc
sceAgcDriverNotifyDefaultStates	a60de44cf4c4bfa3	1159	0x0320,0x0400,0x0403,0x0450,0x0451	nR6xhiFsOoc
sceAgcDriverNotifyDefaultStates	c1a6d738f96ddf96	1225	0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	nR6xhiFsOoc
sceAgcDriverSetupAsyncGraphics	27ece32ac8e0bc1e	153	0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960	Vlaj1gwmIFA
sceAgcDriverSetupAsyncGraphics	336608d9c69e998f	145	0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	Vlaj1gwmIFA
sceAgcDriverSetupAsyncGraphics	4e5fc1128ca7bd15	154	0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761	Vlaj1gwmIFA
sceAgcDriverSetupAsyncGraphics	7a487daaa13d6b17	146	0x1001,0x1020,0x1040,0x1060	Vlaj1gwmIFA
sceAgcDriverSetupAsyncGraphics	7c392b5734a73d3e	185	0x0320	Vlaj1gwmIFA
sceAgcDriverSetupAsyncGraphics	905547b854cf9bbb	177	0x0400,0x0403,0x0450,0x0451	Vlaj1gwmIFA
sceAgcDriverSetupAsyncGraphics	da6cc326f26104c7	161	0x0502,0x0510,0x0550	Vlaj1gwmIFA
