# libSceAgc / libSceAgcDriver NID table for PS5 FW 5.50
# Only includes NIDs that exist in the FW 5.50 SPRX exports.
# For NIDs from other firmware versions, see agc_nids_version_variants.tsv
#
library	name	nid	source
libSceAgcDriver	sceAgcDriverUnknown_K15VxhSJOfc	K15VxhSJOfc	SPRX stub (returns 0x8a6d0001)
libSceAgcDriver	sceAgcDriverUnknown_KtIXf8La96k	KtIXf8La96k	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_LepGrgk77sM	LepGrgk77sM	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_M9yBzRKkjPc	M9yBzRKkjPc	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_NghWEUXp1qM	NghWEUXp1qM	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_NhnGMuunz0Y	NhnGMuunz0Y	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_NmE3PfE211o	NmE3PfE211o	SPRX stub (ret only)
libSceAgcDriver	sceAgcDriverUnknown_O144kUYDSBo	O144kUYDSBo	SPRX stub (ret only)
libSceAgcDriver	sceAgcDriverUnknown_SAfhzJPcjuk	SAfhzJPcjuk	SPRX stub (returns 0x8a6c1000)
libSceAgcDriver	sceAgcDriverUnknown_SCoAN5fYlUM	SCoAN5fYlUM	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_V+rBNI2HzGA	V+rBNI2HzGA	SPRX stub (returns 0x8a6d0001)
libSceAgcDriver	sceAgcDriverUnknown_VOMSpd9+vxU	VOMSpd9+vxU	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_VerAUWCtrX0	VerAUWCtrX0	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_Xq5WmbwPTnQ	Xq5WmbwPTnQ	SPRX stub (returns 0x8a6c1000)
libSceAgcDriver	sceAgcDriverUnknown_ZLJk9r2+2Aw	ZLJk9r2+2Aw	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_emP3ckeS2uo	emP3ckeS2uo	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_g68eYcZS7PY	g68eYcZS7PY	SPRX stub (returns 0x8a6d0001)
libSceAgcDriver	sceAgcDriverUnknown_gpF0LZ3+19c	gpF0LZ3+19c	SPRX stub (returns 0x8a6d0001)
libSceAgcDriver	sceAgcDriverUnknown_kFiKcGagv5k	kFiKcGagv5k	SPRX stub (returns 0x8a6d0001)
libSceAgcDriver	sceAgcDriverUnknown_ls4jfY576lw	ls4jfY576lw	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_mXn+K9E-wOA	mXn+K9E-wOA	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_mxyUaQfPgb8	mxyUaQfPgb8	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_o2gvlIFMF1o	o2gvlIFMF1o	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_qspAL8bgcBY	qspAL8bgcBY	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_rI9lNAXPMIw	rI9lNAXPMIw	SPRX stub (returns 0x8a6c9018 = not supported)
libSceAgcDriver	sceAgcDriverUnknown_sW7yp7NVlrk	sW7yp7NVlrk	SPRX stub (returns 0x8a6c1000)
libSceAgcDriver	sceAgcDriverUnknown_t30LG1ibIJE	t30LG1ibIJE	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_tD2ECNSuTQQ	tD2ECNSuTQQ	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_tLTma0k0U3E	tLTma0k0U3E	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_wxdcyVqXJEY	wxdcyVqXJEY	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnknown_xDPdCurOujQ	xDPdCurOujQ	SPRX stub (returns 0)
libSceAgcDriver	sceAgcDriverUnregisterResource	pWLG7WOpVcw	libGraphicsDriver.cpp
libSceAgcDriver	sceAgcDriverUnregisterWorkloadStream	n5ElQVYsU1A	3.20 stub (libSceAgcDriver)
libSceAgcDriver	sceAgcDriverUserDataGetPacketSize	VhLnEiTuuWo	3.20 stub (libSceAgcDriver)
libSceAgcDriver	sceAgcDriverUserDataWritePopMarker	LEnn-4ARRJM	3.20 stub (libSceAgcDriver)
libSceAgcDriver	sceAgcDriverWaitIdle	oFb2hMcoJa4	agc_nids.h
libSceAgcDriver	sceAgcDriverWaitUntilSafeForRendering	u8BkdHb1+Po	3.20 stub (libSceAgcDriver)
